STATENAME,URL,WEBSITE,ACTIVITYESTIMATE,WEEKEND,WEEK,SEASON
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Oct-10-2015,40,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Oct-17-2015,41,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Oct-24-2015,42,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Oct-31-2015,43,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Nov-07-2015,44,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Nov-14-2015,45,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Nov-21-2015,46,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Nov-28-2015,47,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Dec-05-2015,48,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Dec-12-2015,49,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Dec-19-2015,50,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Dec-26-2015,51,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Jan-02-2016,52,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Jan-09-2016,1,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Jan-16-2016,2,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Jan-23-2016,3,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Jan-30-2016,4,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Feb-06-2016,5,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Feb-13-2016,6,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Feb-20-2016,7,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Feb-27-2016,8,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Mar-05-2016,9,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Mar-12-2016,10,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Mar-19-2016,11,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Mar-26-2016,12,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Apr-02-2016,13,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Apr-09-2016,14,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Apr-16-2016,15,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Apr-23-2016,16,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Apr-30-2016,17,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,May-07-2016,18,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,May-14-2016,19,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,May-21-2016,20,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Sporadic,Oct-10-2015,40,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Sporadic,Oct-17-2015,41,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Sporadic,Oct-24-2015,42,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Sporadic,Oct-31-2015,43,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Sporadic,Nov-07-2015,44,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Sporadic,Nov-14-2015,45,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Sporadic,Nov-21-2015,46,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Sporadic,Nov-28-2015,47,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Sporadic,Dec-05-2015,48,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Sporadic,Dec-12-2015,49,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Sporadic,Dec-19-2015,50,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Sporadic,Dec-26-2015,51,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Sporadic,Jan-02-2016,52,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Sporadic,Jan-09-2016,1,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Sporadic,Jan-16-2016,2,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Sporadic,Jan-23-2016,3,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Local Activity,Jan-30-2016,4,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Sporadic,Feb-06-2016,5,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Local Activity,Feb-13-2016,6,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Local Activity,Feb-20-2016,7,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Widespread,Feb-27-2016,8,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Widespread,Mar-05-2016,9,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Widespread,Mar-12-2016,10,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Widespread,Mar-19-2016,11,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Widespread,Mar-26-2016,12,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Widespread,Apr-02-2016,13,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Widespread,Apr-09-2016,14,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Regional,Apr-16-2016,15,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Regional,Apr-23-2016,16,2015-16
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Local Activity,Apr-30-2016,17,2015-16
