statename,activity_level,activity_level_label,weekend,season,weeknumber,Latitude,Longitude
Alabama,1,Minimal,Oct-01-2016,2015-16,39,32.806671,-86.79113
Alabama,1,Minimal,Sep-24-2016,2015-16,38,32.806671,-86.79113
Alabama,1,Minimal,Sep-17-2016,2015-16,37,32.806671,-86.79113
Alabama,1,Minimal,Sep-10-2016,2015-16,36,32.806671,-86.79113
Alabama,1,Minimal,Sep-03-2016,2015-16,35,32.806671,-86.79113
Alabama,1,Minimal,Aug-27-2016,2015-16,34,32.806671,-86.79113
Alabama,1,Minimal,Aug-20-2016,2015-16,33,32.806671,-86.79113
Alabama,1,Minimal,Aug-13-2016,2015-16,32,32.806671,-86.79113
Alabama,1,Minimal,Aug-06-2016,2015-16,31,32.806671,-86.79113
Alabama,1,Minimal,Jul-30-2016,2015-16,30,32.806671,-86.79113
Alabama,1,Minimal,Jul-23-2016,2015-16,29,32.806671,-86.79113
Alabama,1,Minimal,Jul-16-2016,2015-16,28,32.806671,-86.79113
Alabama,1,Minimal,Jul-09-2016,2015-16,27,32.806671,-86.79113
Alabama,1,Minimal,Jul-02-2016,2015-16,26,32.806671,-86.79113
Alabama,1,Minimal,Jun-25-2016,2015-16,25,32.806671,-86.79113
Alabama,1,Minimal,Jun-18-2016,2015-16,24,32.806671,-86.79113
Alabama,1,Minimal,Jun-11-2016,2015-16,23,32.806671,-86.79113
Alabama,1,Minimal,Jun-04-2016,2015-16,22,32.806671,-86.79113
Alabama,1,Minimal,May-28-2016,2015-16,21,32.806671,-86.79113
Alabama,1,Minimal,May-21-2016,2015-16,20,32.806671,-86.79113
Alabama,1,Minimal,May-14-2016,2015-16,19,32.806671,-86.79113
Alabama,1,Minimal,May-07-2016,2015-16,18,32.806671,-86.79113
Alabama,1,Minimal,Feb-13-2016,2015-16,6,32.806671,-86.79113
Alabama,1,Minimal,Jan-30-2016,2015-16,4,32.806671,-86.79113
Alabama,1,Minimal,Jan-16-2016,2015-16,2,32.806671,-86.79113
Alabama,1,Minimal,Jan-09-2016,2015-16,1,32.806671,-86.79113
Alabama,1,Minimal,Jan-02-2016,2015-16,52,32.806671,-86.79113
Alabama,1,Minimal,Dec-12-2015,2015-16,49,32.806671,-86.79113
Alabama,1,Minimal,Dec-05-2015,2015-16,48,32.806671,-86.79113
Alabama,1,Minimal,Nov-21-2015,2015-16,46,32.806671,-86.79113
Alabama,1,Minimal,Nov-14-2015,2015-16,45,32.806671,-86.79113
Alabama,1,Minimal,Nov-07-2015,2015-16,44,32.806671,-86.79113
Alabama,1,Minimal,Oct-31-2015,2015-16,43,32.806671,-86.79113
Alabama,1,Minimal,Oct-24-2015,2015-16,42,32.806671,-86.79113
Alabama,1,Minimal,Oct-17-2015,2015-16,41,32.806671,-86.79113
Alabama,1,Minimal,Oct-10-2015,2015-16,40,32.806671,-86.79113
Alabama,1,Minimal,Oct-03-2015,2014-15,39,32.806671,-86.79113
Alabama,1,Minimal,Sep-26-2015,2014-15,38,32.806671,-86.79113
Alabama,1,Minimal,Sep-19-2015,2014-15,37,32.806671,-86.79113
Alabama,1,Minimal,Sep-12-2015,2014-15,36,32.806671,-86.79113
Alabama,1,Minimal,Sep-05-2015,2014-15,35,32.806671,-86.79113
Alabama,1,Minimal,Aug-29-2015,2014-15,34,32.806671,-86.79113
Alabama,1,Minimal,Aug-22-2015,2014-15,33,32.806671,-86.79113
Alabama,1,Minimal,Aug-15-2015,2014-15,32,32.806671,-86.79113
Alabama,1,Minimal,Aug-08-2015,2014-15,31,32.806671,-86.79113
Alabama,1,Minimal,Aug-01-2015,2014-15,30,32.806671,-86.79113
Alabama,1,Minimal,Jul-25-2015,2014-15,29,32.806671,-86.79113
Alabama,1,Minimal,Jul-18-2015,2014-15,28,32.806671,-86.79113
Alabama,1,Minimal,Jul-11-2015,2014-15,27,32.806671,-86.79113
Alabama,1,Minimal,Jul-04-2015,2014-15,26,32.806671,-86.79113
Alabama,1,Minimal,Jun-27-2015,2014-15,25,32.806671,-86.79113
Alabama,1,Minimal,Jun-20-2015,2014-15,24,32.806671,-86.79113
Alabama,1,Minimal,Jun-13-2015,2014-15,23,32.806671,-86.79113
Alabama,1,Minimal,Jun-06-2015,2014-15,22,32.806671,-86.79113
Alabama,1,Minimal,May-30-2015,2014-15,21,32.806671,-86.79113
Alabama,1,Minimal,May-23-2015,2014-15,20,32.806671,-86.79113
Alabama,1,Minimal,May-16-2015,2014-15,19,32.806671,-86.79113
Alabama,1,Minimal,May-09-2015,2014-15,18,32.806671,-86.79113
Alabama,1,Minimal,May-02-2015,2014-15,17,32.806671,-86.79113
Alabama,1,Minimal,Apr-25-2015,2014-15,16,32.806671,-86.79113
Alabama,1,Minimal,Apr-18-2015,2014-15,15,32.806671,-86.79113
Alabama,1,Minimal,Apr-11-2015,2014-15,14,32.806671,-86.79113
Alabama,1,Minimal,Apr-04-2015,2014-15,13,32.806671,-86.79113
Alabama,1,Minimal,Mar-28-2015,2014-15,12,32.806671,-86.79113
Alabama,1,Minimal,Nov-08-2014,2014-15,45,32.806671,-86.79113
Alabama,1,Minimal,Nov-01-2014,2014-15,44,32.806671,-86.79113
Alabama,1,Minimal,Oct-18-2014,2014-15,42,32.806671,-86.79113
Alabama,1,Minimal,Oct-25-2014,2014-15,43,32.806671,-86.79113
Alabama,1,Minimal,Oct-11-2014,2014-15,41,32.806671,-86.79113
Alabama,1,Minimal,Oct-04-2014,2014-15,40,32.806671,-86.79113
Alabama,1,Minimal,Sep-27-2014,2013-14,39,32.806671,-86.79113
Alabama,1,Minimal,Sep-20-2014,2013-14,38,32.806671,-86.79113
Alabama,1,Minimal,Sep-13-2014,2013-14,37,32.806671,-86.79113
Alabama,1,Minimal,Sep-06-2014,2013-14,36,32.806671,-86.79113
Alabama,1,Minimal,Aug-30-2014,2013-14,35,32.806671,-86.79113
Alabama,1,Minimal,Aug-23-2014,2013-14,34,32.806671,-86.79113
